# id, source, name, diff [optional]
# will fail to parse if these are not provided 

# Raid BoEs
144400, NH, Feathermane Feather Cloak, Raid Finder
144403, NH, Fashionable Autumn Cloak, Raid Finder
152084, ABT, Gloves of Abhorrent Strategies, Heroic
153018, ABT, Corrupted Mantle of the Felseekers
165925, BoD, Drape of Valiant Defense, Raid Finder
168602, EP, Cloak of Blessed Depths, Raid Finder
168602, EP, Cloak of Blessed Depths, Mythic
190631, SotFO, Vandalized Ephemera Mitts
190631, SotFO, Vandalized Ephemera Mitts, Fated Normal
190631, SotFO, Vandalized Ephemera Mitts, Mythic
190631, SotFO, Vandalized Ephemera Mitts, Fated Mythic

# Dungeon BoEs
9424, Uldaman, Ginn-Su Sword
9429, Uldaman, Miner's Hat of the Deep
9431, Uldaman, Papal Fez

# Mounts
163573, BFA World, Goldenmane's Reins
163574, BFA World, Chewed-On Mule
163575, BFA World, Tamed Bloodfeaster
163576, BFA World, Captured Dune Scavenger
54068, TCG, Wooly White Rhino
49286, TCG, X-51 Nether Rocket

# Pets
P2938, Bastion, Gilded Wader
P183, TCG, Ethereal Soul-Trader
P2894, Revendreth, Burdened Soul
# Toys

# World Drops
194262, Thaldraszus, Pattern: Temporal Spellthread
187097, Korthia, Construct's Shoulderplates
187024, Korthia, Necromancer's Mantle
159840, BFA World, Teebu's Scorching Straight Sword
118808, WoD World, Highmaul Magi Scarf
118850, WoD World, Transcription of Hir Oto'ro
43613, Wrath World, The Dusk Blade
36517, Wrath World, Iron-Grip Shortsword
43611, Wrath World, Krol Cleaver
15547, Classic World, Thick Scale Cloak
14372, Classic World, Sanguine Armor
14380, Classic World, Sanguine Robe
869, Classic World, Dazzling Longsword
13034, Classic World, Speedsteel Rapier
1728, Classic World, Teebu's Blazing Longsword
2011, Classic World, Twisted Sabre
11168, Classic World, Formula: Shield Lesser Parry
14510, Classic World, Pattern: Bottomless Bag
14511, Classic World, Pattern: Gloves of Spell Mastery
4351, Classic World, Pattern: Shadow Hood

# Recipes
14514, Removed?, Pattern: Robe of the Void

# Skipped TBC

# Other
36812, SL Pet Grey, Ground Gear
3670, SL Pet Grey, Large Slimy Bone
3300, SL Pet Grey, Rabbit's Foot
11406, SL Pet Grey, Rotting Bear Carcass

# Bought
# 187019, Korthia, Infiltrator's Shoulderguards
# 14501, Classic World, Pattern: Mooncloth Vest
# 142541, ToV, Drape of the Forgotten Souls, Heroic
# 124150, HFC, Desiccated Soulrender Slippers, Heroic
# 142541, ToV, Drape of the Forgotten Souls
# 163956, BFA World, Treiya's Shining Pillar
# 116556, WoD World, Auchenai Sword
# 8226, Scarlet Monastery, The Butcher
# 14497, Classic World, Pattern: Mooncloth Leggings
# 116711, WoD World, Sunsworn Cloak
# 124182, HFC, Cord of Unhinged Malice, Heroic
# 67410, SL Pet Grey, Very Unlucky Rock
# 14509, Classic World, Pattern: Mooncloth Circlet
# 118785, WoD World, Void Bound Knife
# 118794, WoD World, Felcore Iron Wand
# 4354, Classic World, Pattern: Rich Purple Silk Shirt
# 116712, WoD World, Sunsworn Transcription
# 14379, Classic World, Sanguine Trousers
# 118790, WoD World, Sabre of the Faceless Moon
# 190631, SotFO, Vandalized Ephemera Mitts, Raid Finder
# 190631, SotFO, Vandalized Ephemera Mitts, Fated Raid Finder
# 118791, WoD World, Razorcrystal Blade
# 87478, MoP World, Wand of the Exiled Path
# 1405, Westfall, Foamspittle Staff
# 118805, WoD World, Caniki's Cane of Command
# 153018, ABT, Corrupted Mantle of the Felseekers, Heroic
# 190631, SotFO, Vandalized Ephemera Mitts, Heroic
# 190631, SotFO, Vandalized Ephemera Mitts, Fated Heroic
# 118813, WoD World, Tarred Greatcloak
# 87510, MoP World, Buc-Zakai Bugslicer
# 3291, Classic World, Ancestral Woollies
# 36516, Wrath World, Tribal Blade
# 36515, Wrath World, Raider's Cutlass
# 3309, Classic World, Barbaric Loincloth
# 168602, EP, Cloak of Blessed Depths, Heroic
# 152084, ABT, Gloves of Abhorrent Strategies
# 36405, Wrath World, Double Cape
# 14369, Classic World, Mystic's Wrap
# 118812, WoD World, Flamelicked Cloak of Kaufebyrd
# 37807, Wrath World, Lydia's Sharpened Swordbreaker
# 118809, WoD World, Eldodin's Elegant Drape
# 9769, Classic World, Greenweave Branch
# 937, Classic World, Black Duskwood Staff
# 116572, WoD World, Skettis Staff
# 944, Classic World, Elemental Mage Staff
# 36518, Wrath World, Tundra's Edge
# 36705, Wrath World, Geyser Staff
# 15941, Classic World, High Councillor's Scepter
# 36523, Wrath World, Trollish Slicer
# 118804, WoD World, Starrgo's Walking Stick
# 14091, Classic World, Beaded Robe
# 36544, Wrath World, Journeyed Staff
# 36461, Wrath World, Demon-Skull Orb
# 87514, MoP World, Sharpened Multi-Prong Dagger
# 37806, Wrath World, Zabra's Misplaced Staff
# 184778, CN, Decadent Nathrian Shawl, Mythic
# 184778, CN, Decadent Nathrian Shawl, Fated Mythic
# 44310, Wrath World, Namlak's Supernumerary Sticker
# 36465, Wrath World, Evergreen Branch
# 1391, Westfall, Riverpaw Mystic Staff
# 36698, Wrath World, Conifer Cone Staff
# 37755, Wrath World, Leggings of the Icy Heart
# 190334, SotFO, Origin, Mythic
# 190334, SotFO, Origin, Fated Mythic
# 2244, Classic World, Krol Blade
